Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
6/7/07,17.2,2.08,13.75661376,,,,,,,,,
6/6/07,15.12,1.19,8.542713568,,,,,,,,,
6/5/07,13.93,0.29,2.126099707,,,,,,,,,
6/4/07,13.64,0.42,3.177004539,,,,,,,,,
6/1/07,13.22,-0.21,-1.56366344,,,,,,,,,
5/31/07,13.43,0.21,1.588502269,,,,,,,,,
5/30/07,13.22,-0.68,-4.892086331,,,,,,,,,
5/29/07,13.9,0.2,1.459854015,,,,,,,,,
5/25/07,13.7,-0.89,-6.10006854,,,,,,,,,
5/24/07,14.59,0.93,6.808199122,,,,,,,,,
5/23/07,13.66,0,0,,,,,,,,,
5/22/07,13.66,-0.09,-0.654545455,,,,,,,,,
5/21/07,13.75,0.42,3.150787697,,,,,,,,,
5/18/07,13.33,-0.8,-5.661712668,,,,,,,,,
5/17/07,14.13,0.01,0.07082153,,,,,,,,,
5/16/07,14.12,-0.46,-3.155006859,,,,,,,,,
5/15/07,14.58,0.03,0.206185567,,,,,,,,,
5/14/07,14.55,0.98,7.221812822,,,,,,,,,
5/11/07,13.57,-0.76,-5.303558967,,,,,,,,,
5/10/07,14.33,1.03,7.744360902,,,,,,,,,
5/9/07,13.3,-0.47,-3.413217139,,,,,,,,,
5/8/07,13.77,0.16,1.175606172,,,,,,,,,
5/7/07,13.61,0.23,1.718983558,,,,,,,,,
5/4/07,13.38,-0.09,-0.668151448,,,,,,,,,
5/3/07,13.47,0.05,0.372578241,,,,,,,,,
5/2/07,13.42,-0.38,-2.753623188,,,,,,,,,
5/1/07,13.8,-0.57,-3.966597077,,,,,,,,,
4/30/07,14.37,1.68,13.23877069,,,,,,,,,
4/27/07,12.69,-0.12,-0.93676815,,,,,,,,,
4/26/07,12.81,-0.42,-3.174603175,,,,,,,,,
4/25/07,13.23,0.07,0.531914894,,,,,,,,,
4/24/07,13.16,0.06,0.458015267,,,,,,,,,
4/23/07,13.1,0.97,7.996702391,,,,,,,,,
4/20/07,12.13,-0.51,-4.034810127,,,,,,,,,
4/19/07,12.64,0.3,2.431118314,,,,,,,,,
4/18/07,12.34,0.25,2.067824648,,,,,,,,,
4/17/07,12.09,0.05,0.415282392,,,,,,,,,
4/16/07,12.04,-0.33,-2.667744543,,,,,,,,,
4/13/07,12.37,-0.62,-4.772902232,,,,,,,,,
4/12/07,12.99,-0.57,-4.203539823,,,,,,,,,
4/11/07,13.56,0.84,6.603773585,,,,,,,,,
4/10/07,12.72,-0.48,-3.636363636,,,,,,,,,
4/9/07,13.2,0.31,2.404965089,,,,,,,,,
4/5/07,12.89,-0.35,-2.643504532,,,,,,,,,
4/4/07,13.24,-0.3,-2.215657312,,,,,,,,,
4/3/07,13.54,-1.15,-7.828454731,,,,,,,,,
4/2/07,14.69,0.08,0.547570157,,,,,,,,,
3/30/07,14.61,-0.58,-3.818301514,,,,,,,,,
3/29/07,15.19,-0.03,-0.197109067,,,,,,,,,
3/28/07,15.22,1.66,12.24188791,,,,,,,,,
3/27/07,13.56,0.41,3.117870722,,,,,,,,,
